caseid,age,sex,sei,region,polviews,natmass
53159,59,Male,63.5,Middle Atlantic,Conservative,About Right
53160,36,Male,60.5,Middle Atlantic,Conservative,About Right
53161,65,Female,63.5,Middle Atlantic,Extremely Liberal,Too Little
53162,46,Female,66.099998,Middle Atlantic,Conservative,Too Little
53163,33,Female,27.5,Pacific,Moderate,Too Little
53166,36,Male,63.5,Pacific,Liberal,About Right
53168,32,Female,65.800003,Pacific,Slightly Liberal,About Right
53169,68,Male,64.199997,Pacific,Slightly Conservative,About Right
53170,63,Male,63.5,Pacific,Liberal,Too Little
53171,80,Female,78.5,Pacific,Slightly Liberal,Too Little
53172,72,Male,63.5,Pacific,Moderate,Too Little
53173,24,Male,28.6,Pacific,Conservative,Too Little
53175,45,Male,64.199997,Pacific,Moderate,About Right
53176,52,Male,21.200001,Pacific,Conservative,About Right
53177,49,Male,63.5,Pacific,Moderate,Too Little
53179,42,Male,29.200001,Pacific,Moderate,About Right
53180,37,Female,26.4,Pacific,Conservative,About Right
53181,35,Female,33.099998,Pacific,Extremely Liberal,Too Little
53182,51,Male,63.200001,Pacific,Conservative,Too Little
53183,66,Male,50.700001,Pacific,Slightly Conservative,Too Little
53184,28,Male,67,Pacific,Conservative,Too Much
53186,47,Male,64.099998,Pacific,Extremely Liberal,Too Little
53187,48,Male,67,Pacific,Slightly Conservative,Too Little
53188,49,Female,96,Pacific,Slightly Conservative,About Right
53190,70,Female,29.299999,Pacific,Moderate,Too Little
53191,42,Male,31.4,Pacific,Slightly Liberal,About Right
53192,35,Male,31.4,Pacific,Extrmly Conservative,Too Little
53194,68,Male,38.900002,Pacific,Slightly Liberal,Too Little
53195,34,Male,87.900002,Pacific,Slightly Conservative,About Right
53196,30,Male,38.799999,Pacific,Liberal,About Right
53197,25,Male,27.5,Pacific,Moderate,Too Little
53198,36,Male,28.6,Pacific,Liberal,About Right
53199,54,Female,64.800003,Pacific,Slightly Conservative,About Right
53203,29,Male,76.400002,Pacific,Conservative,Too Little
53204,20,Female,34.400002,Pacific,Slightly Conservative,About Right
53205,41,Female,38.400002,Pacific,Moderate,About Right
53206,40,Female,60.599998,Pacific,Liberal,Too Little
53207,71,Male,81,Pacific,Conservative,About Right
53208,23,Male,50.700001,Pacific,Liberal,About Right
53209,49,Male,63.200001,Pacific,Slightly Liberal,About Right
53210,44,Male,33.200001,Pacific,Moderate,Too Little
53212,24,Male,44.700001,Pacific,Slightly Liberal,Too Little
53213,29,Male,64.099998,Pacific,Slightly Liberal,Too Little
53214,56,Female,63.5,Pacific,Slightly Liberal,Too Little
53215,24,Male,31.4,Pacific,Moderate,Too Much
53216,60,Male,63.5,Pacific,Slightly Liberal,Too Little
53217,52,Male,43.400002,Pacific,Conservative,Too Little
53218,51,Female,45.400002,Pacific,Moderate,About Right
53219,64,Female,33.900002,Pacific,Moderate,About Right
53220,23,Female,38.400002,Pacific,Liberal,About Right
53221,46,Male,29.5,Pacific,Slightly Liberal,Too Little
53222,34,Male,32.900002,Pacific,Liberal,Too Little
53223,29,Female,56.599998,Pacific,Moderate,About Right
53224,28,Female,76.5,Pacific,Liberal,Too Little
53225,39,Female,50.700001,Pacific,Conservative,About Right
53226,33,Male,85.099998,Pacific,Liberal,About Right
53227,24,Female,28.4,Pacific,Extremely Liberal,Too Little
53228,34,Female,85.099998,Pacific,Moderate,About Right
53229,24,Male,47,Pacific,Liberal,Too Little
53230,30,Male,44.200001,Pacific,Moderate,About Right
53231,25,Male,50.5,Pacific,Extremely Liberal,Too Little
53232,41,Female,64.099998,Pacific,Slightly Liberal,Too Little
53233,37,Male,86,Pacific,Moderate,About Right
53234,48,Female,63.5,Pacific,Liberal,Too Little
53235,28,Male,63.5,Pacific,Extremely Liberal,Too Little
53236,30,Female,87,Pacific,Moderate,About Right
53237,34,Female,84,Pacific,Slightly Conservative,About Right
53238,67,Male,37.299999,Pacific,Conservative,Too Much
53239,64,Female,78.5,Pacific,Slightly Liberal,About Right
53240,80,Male,63.200001,Pacific,Conservative,About Right
53241,52,Male,63.5,Pacific,Moderate,About Right
53242,29,Female,50.5,E. Nor. Central,Moderate,About Right
53244,42,Female,80.900002,E. Nor. Central,Liberal,Too Little
53245,89,Female,78.5,E. Nor. Central,Moderate,Too Little
53246,61,Female,32.099998,E. Nor. Central,Slightly Liberal,About Right
53248,44,Male,31.4,E. Nor. Central,Moderate,Too Little
53249,60,Female,73.199997,E. Nor. Central,Moderate,Too Little
53250,28,Male,34.299999,E. Nor. Central,Conservative,Too Little
53251,27,Male,63.5,E. Nor. Central,Moderate,Too Little
53252,38,Male,84.699997,E. Nor. Central,Liberal,Too Little
53253,34,Female,26.4,E. Nor. Central,Slightly Liberal,Too Little
53255,35,Female,28.4,E. Nor. Central,Moderate,About Right
53256,29,Female,33.099998,E. Nor. Central,Slightly Conservative,Too Little
53257,32,Female,25.299999,E. Nor. Central,Extrmly Conservative,About Right
53258,63,Female,69.199997,E. Nor. Central,Liberal,Too Much
53259,80,Female,37.700001,E. Nor. Central,Slightly Liberal,About Right
53260,52,Male,29.299999,E. Nor. Central,Conservative,About Right
53261,25,Female,73.300003,E. Nor. Central,Liberal,About Right
53262,70,Female,38.400002,E. Nor. Central,Conservative,Too Little
53263,35,Male,82.699997,E. Nor. Central,Moderate,About Right
53264,41,Female,73.199997,E. Nor. Central,Liberal,About Right
53265,24,Female,50.5,E. Nor. Central,Liberal,About Right
53266,60,Male,83.699997,E. Nor. Central,Liberal,Too Little
53267,55,Male,51.900002,E. Nor. Central,Moderate,Too Much
53269,68,Female,78.5,E. Nor. Central,Slightly Liberal,Too Little
53270,22,Female,40,E. Nor. Central,Liberal,Too Little
53271,58,Male,86,E. Nor. Central,Liberal,Too Little
53272,55,Male,63.5,E. Nor. Central,Slightly Conservative,Too Little
53273,75,Male,50.700001,E. Nor. Central,Moderate,Too Little
53274,66,Male,50.700001,E. Nor. Central,Moderate,Too Little
53275,76,Female,38.400002,E. Nor. Central,Moderate,Too Little
53276,79,Male,62,E. Nor. Central,Extrmly Conservative,About Right
53277,29,Female,63.5,E. Nor. Central,Moderate,Too Little
53278,60,Female,73.199997,E. Nor. Central,Extremely Liberal,Too Little
53279,36,Female,63.5,E. Nor. Central,Moderate,Too Little
53280,75,Male,63.5,E. Nor. Central,Conservative,About Right
53281,48,Female,38.900002,E. Nor. Central,Slightly Liberal,Too Little
53282,35,Female,64.199997,E. Nor. Central,Moderate,About Right
53283,54,Male,50.700001,E. Nor. Central,Moderate,About Right
53284,45,Male,41.599998,E. Nor. Central,Moderate,Too Little
53285,58,Female,73.800003,E. Nor. Central,Moderate,Too Little
53286,46,Female,42.200001,E. Nor. Central,Moderate,Too Much
53287,36,Female,38.900002,E. Nor. Central,Moderate,Too Little
53288,58,Female,68.099998,E. Nor. Central,Moderate,About Right
53289,40,Female,78.5,E. Nor. Central,Moderate,About Right
53290,44,Female,57.099998,E. Nor. Central,Moderate,About Right
53291,59,Male,62.5,E. Nor. Central,Slightly Conservative,Too Little
53292,80,Female,37.700001,E. Nor. Central,Slightly Conservative,Too Little
53294,76,Female,31.4,E. Nor. Central,Liberal,About Right
53295,65,Female,38.400002,E. Nor. Central,Conservative,About Right
53296,43,Female,78.5,E. Nor. Central,Moderate,About Right
53297,73,Female,41.299999,Pacific,Moderate,About Right
53298,27,Female,32.400002,Pacific,Liberal,About Right
53299,73,Male,64,Pacific,Slightly Conservative,Too Little
53300,60,Female,87.900002,Pacific,Liberal,Too Little
53301,42,Female,38,Pacific,Slightly Liberal,About Right
53302,51,Male,80.900002,Pacific,Moderate,About Right
53303,21,Male,37.5,Pacific,Liberal,About Right
53305,45,Female,74.900002,Pacific,Moderate,Too Little
53306,35,Female,36.5,Pacific,Moderate,About Right
53307,79,Female,64.199997,Pacific,Conservative,About Right
53308,67,Male,85.099998,Pacific,Slightly Liberal,About Right
53309,19,Female,33.099998,Pacific,Liberal,Too Little
53310,76,Male,81,Pacific,Conservative,Too Much
53311,70,Female,63.5,Pacific,Liberal,Too Little
53312,60,Male,50.700001,Pacific,Liberal,Too Little
53313,47,Male,86.900002,Pacific,Moderate,Too Little
53314,57,Female,84.699997,Pacific,Slightly Liberal,Too Little
53316,43,Male,83.699997,Pacific,Slightly Conservative,Too Little
53317,45,Female,73.300003,Pacific,Slightly Liberal,Too Little
53318,29,Female,63.5,Pacific,Liberal,Too Little
53319,38,Male,28.4,Pacific,Moderate,About Right
53320,25,Female,38.400002,Pacific,Liberal,About Right
53321,37,Female,74.400002,Pacific,Liberal,About Right
53322,63,Female,63.5,Pacific,Slightly Liberal,Too Little
53323,62,Male,64.099998,Pacific,Moderate,Too Little
53324,28,Male,73.300003,Pacific,Moderate,About Right
53325,61,Male,29.200001,Pacific,Liberal,Too Little
53326,47,Male,63.200001,Pacific,Slightly Conservative,Too Much
53327,55,Male,73.199997,Pacific,Moderate,Too Little
53328,48,Female,50.5,Pacific,Moderate,Too Little
53329,49,Male,48.5,Pacific,Slightly Conservative,About Right
53330,20,Male,78.5,Pacific,Slightly Liberal,Too Little
53331,24,Male,31.4,Pacific,Moderate,About Right
53332,24,Male,37.700001,Pacific,Slightly Conservative,About Right
53333,26,Female,40.200001,Pacific,Liberal,Too Little
53335,48,Male,90.300003,Pacific,Liberal,About Right
53336,54,Female,64.199997,Pacific,Slightly Liberal,Too Little
53337,64,Female,71.599998,Pacific,Extremely Liberal,Too Little
53340,30,Male,30,Pacific,Moderate,Too Little
53341,53,Female,33.099998,Pacific,Extrmly Conservative,About Right
53342,39,Male,29.200001,Pacific,Slightly Conservative,About Right
53343,39,Male,34.299999,Pacific,Moderate,About Right
53344,50,Male,51,Pacific,Moderate,About Right
53345,65,Male,90.099998,Pacific,Conservative,Too Little
53346,51,Female,69.699997,Pacific,Slightly Conservative,About Right
53347,29,Male,30.1,Pacific,Moderate,Too Little
53349,50,Male,31.299999,Pacific,Moderate,About Right
53350,72,Female,38,Pacific,Moderate,Too Little
53351,68,Male,31.5,Pacific,Moderate,About Right
53352,41,Male,34.200001,Pacific,Moderate,Too Little
53353,63,Male,96,Pacific,Conservative,About Right
53354,62,Male,63.5,Pacific,Slightly Conservative,Too Little
53355,52,Female,63.5,Pacific,Extremely Liberal,About Right
53356,39,Female,83.699997,Pacific,Slightly Liberal,Too Little
53357,46,Male,50.700001,Pacific,Liberal,About Right
53358,19,Male,28.6,Pacific,Moderate,About Right
53359,45,Male,37.299999,Pacific,Moderate,Too Little
53360,72,Male,86.800003,Middle Atlantic,Conservative,Too Little
53362,26,Female,33.099998,Middle Atlantic,Moderate,About Right
53363,48,Male,78.5,Middle Atlantic,Liberal,Too Little
53364,65,Male,69.199997,Middle Atlantic,Moderate,Too Little
53365,79,Female,31.200001,Middle Atlantic,Liberal,Too Much
53366,82,Male,46.700001,Middle Atlantic,Liberal,Too Little
53367,51,Male,28.4,Middle Atlantic,Slightly Conservative,About Right
53368,38,Female,38.5,Middle Atlantic,Slightly Liberal,About Right
53369,46,Female,54.700001,Middle Atlantic,Conservative,Too Little
53370,47,Male,26.700001,Middle Atlantic,Slightly Liberal,About Right
53371,40,Female,50.5,Middle Atlantic,Conservative,About Right
53372,56,Male,53.900002,South Atlantic,Moderate,Too Little
53373,79,Female,33.900002,South Atlantic,Moderate,About Right
53374,43,Female,33.099998,Middle Atlantic,Liberal,Too Little
53375,37,Female,28.4,Middle Atlantic,Slightly Conservative,About Right
53376,30,Female,33.299999,Middle Atlantic,Moderate,About Right
53377,29,Male,27.5,Middle Atlantic,Slightly Liberal,About Right
53378,79,Female,29,Middle Atlantic,Liberal,Too Much
53379,71,Male,51,Middle Atlantic,Moderate,About Right
53381,40,Female,50.5,Middle Atlantic,Liberal,Too Much
53382,27,Male,66.099998,Middle Atlantic,Conservative,About Right
53383,85,Female,44.299999,Middle Atlantic,Slightly Liberal,Too Little
53384,62,Female,87,Middle Atlantic,Extrmly Conservative,Too Little
53385,29,Female,64.800003,Middle Atlantic,Conservative,About Right
53386,30,Male,29.200001,Middle Atlantic,Liberal,Too Little
53387,28,Female,69.199997,Middle Atlantic,Extremely Liberal,About Right
53389,27,Female,63.200001,Middle Atlantic,Moderate,About Right
53391,35,Female,81,Middle Atlantic,Extrmly Conservative,About Right
53392,32,Male,29.200001,Middle Atlantic,Conservative,Too Little
53393,67,Female,50.5,Middle Atlantic,Liberal,Too Little
53394,69,Female,33.099998,Middle Atlantic,Slightly Conservative,About Right
53395,55,Male,64.099998,Middle Atlantic,Conservative,About Right
53396,40,Female,74.400002,Middle Atlantic,Moderate,About Right
53397,81,Male,93.699997,Middle Atlantic,Liberal,Too Little
53398,56,Female,63.5,Middle Atlantic,Conservative,About Right
53399,19,Male,34.799999,Middle Atlantic,Moderate,About Right
53400,25,Female,63.5,Middle Atlantic,Slightly Conservative,Too Little
53401,27,Male,65.800003,Middle Atlantic,Slightly Conservative,About Right
53403,35,Female,80.300003,Middle Atlantic,Slightly Liberal,About Right
53404,51,Male,63.5,Middle Atlantic,Slightly Conservative,About Right
53406,50,Male,64.199997,South Atlantic,Moderate,Too Little
53407,53,Female,45.400002,South Atlantic,Slightly Liberal,Too Little
53408,53,Female,22.5,South Atlantic,Moderate,About Right
53410,40,Female,37.299999,South Atlantic,Slightly Conservative,Too Little
53411,59,Male,63.5,South Atlantic,Slightly Liberal,Too Little
53413,55,Male,35.400002,South Atlantic,Liberal,Too Little
53414,29,Male,34.299999,South Atlantic,Slightly Conservative,Too Much
53416,77,Male,31.5,South Atlantic,Extremely Liberal,Too Little
53417,43,Male,31.5,South Atlantic,Conservative,Too Little
53418,45,Female,37.599998,South Atlantic,Moderate,Too Much
53420,54,Male,31.4,South Atlantic,Conservative,Too Little
53421,46,Female,69.199997,South Atlantic,Moderate,About Right
53422,40,Male,36.700001,South Atlantic,Moderate,About Right
53423,72,Male,30.1,South Atlantic,Liberal,Too Little
53424,60,Female,22.700001,South Atlantic,Conservative,About Right
53425,81,Male,36.400002,South Atlantic,Slightly Liberal,Too Little
53426,30,Female,50.700001,South Atlantic,Slightly Liberal,Too Little
53427,41,Female,29.299999,South Atlantic,Slightly Conservative,Too Little
53428,38,Female,53.299999,South Atlantic,Moderate,Too Little
53429,70,Female,33.599998,E. Nor. Central,Moderate,About Right
53430,54,Male,63.5,E. Nor. Central,Slightly Conservative,Too Little
53432,65,Male,50.700001,E. Nor. Central,Slightly Liberal,Too Little
53433,20,Female,33.099998,E. Nor. Central,Moderate,About Right
53434,43,Female,50.5,E. Nor. Central,Moderate,Too Much
53435,48,Female,48.5,E. Nor. Central,Liberal,About Right
53436,59,Male,50.5,E. Nor. Central,Slightly Conservative,Too Little
53437,43,Male,50.700001,E. Nor. Central,Extrmly Conservative,About Right
53439,67,Male,76.400002,E. Nor. Central,Slightly Conservative,Too Little
53440,56,Female,37.700001,E. Nor. Central,Slightly Liberal,Too Much
53441,65,Female,31.200001,E. Nor. Central,Extrmly Conservative,Too Little
53442,21,Female,38.900002,E. Nor. Central,Conservative,About Right
53444,54,Female,29.299999,E. Nor. Central,Extremely Liberal,Too Little
53445,62,Female,39.400002,E. Nor. Central,Extremely Liberal,Too Little
53447,47,Male,29,E. Nor. Central,Moderate,Too Little
53448,50,Male,27.5,E. Nor. Central,Moderate,About Right
53449,51,Female,29.299999,E. Nor. Central,Moderate,Too Little
53450,54,Male,33.599998,E. Nor. Central,Slightly Liberal,Too Little
53452,21,Male,87.900002,E. Nor. Central,Liberal,About Right
53453,45,Male,28.4,E. Nor. Central,Extrmly Conservative,Too Little
53454,62,Male,92.300003,E. Nor. Central,Moderate,About Right
53456,70,Female,50.700001,E. Nor. Central,Slightly Conservative,About Right
53457,28,Male,92.300003,W. Sou. Central,Slightly Conservative,Too Little
53458,44,Female,85.099998,W. Sou. Central,Moderate,Too Little
53459,33,Male,28.200001,W. Sou. Central,Slightly Liberal,Too Little
53460,25,Female,27.5,W. Sou. Central,Slightly Liberal,Too Little
53461,26,Male,31.5,W. Sou. Central,Moderate,About Right
53463,29,Male,32.299999,W. Sou. Central,Liberal,About Right
53464,62,Male,56.5,W. Sou. Central,Extremely Liberal,Too Little
53465,86,Male,38.900002,W. Sou. Central,Slightly Conservative,Too Much
53466,43,Female,33.099998,W. Sou. Central,Liberal,About Right
53467,34,Female,39.400002,W. Sou. Central,Extrmly Conservative,Too Little
53468,45,Male,37.599998,W. Sou. Central,Slightly Liberal,About Right
53469,22,Male,40,W. Sou. Central,Extrmly Conservative,Too Much
53470,37,Male,32.299999,W. Sou. Central,Extrmly Conservative,About Right
53471,29,Female,30.799999,W. Sou. Central,Extrmly Conservative,About Right
53472,37,Female,64.800003,W. Sou. Central,Conservative,Too Little
53473,37,Female,51.900002,W. Sou. Central,Conservative,Too Little
53474,69,Female,63.5,W. Sou. Central,Slightly Liberal,About Right
53475,56,Male,34.200001,W. Sou. Central,Conservative,Too Much
53476,37,Female,64.199997,W. Sou. Central,Slightly Conservative,About Right
53477,35,Female,18.5,W. Sou. Central,Conservative,Too Little
53478,26,Female,49.700001,W. Sou. Central,Liberal,Too Little
53479,38,Female,32.400002,W. Sou. Central,Moderate,About Right
53480,52,Female,39.400002,W. Sou. Central,Moderate,About Right
53481,54,Male,37.799999,W. Sou. Central,Moderate,About Right
53482,23,Male,29.4,W. Sou. Central,Moderate,About Right
53484,50,Female,28.4,W. Sou. Central,Moderate,Too Little
53485,48,Female,63.5,South Atlantic,Liberal,Too Little
53486,56,Female,38.5,South Atlantic,Conservative,Too Much
53487,59,Male,62.5,South Atlantic,Moderate,About Right
53488,74,Female,71.599998,South Atlantic,Liberal,Too Little
53489,27,Female,64.400002,South Atlantic,Extremely Liberal,About Right
53490,33,Male,31.200001,South Atlantic,Slightly Conservative,Too Little
53491,60,Female,63.5,South Atlantic,Liberal,Too Little
53492,51,Male,66.099998,South Atlantic,Liberal,Too Little
53493,52,Female,43.700001,South Atlantic,Extremely Liberal,Too Much
53494,41,Male,62.099998,South Atlantic,Moderate,About Right
53495,32,Female,22.9,South Atlantic,Slightly Liberal,About Right
53496,57,Male,56.5,South Atlantic,Liberal,Too Little
53497,59,Male,31.4,South Atlantic,Moderate,About Right
53498,77,Female,63.5,South Atlantic,Extremely Liberal,Too Little
53499,81,Female,30.700001,South Atlantic,Liberal,About Right
53500,33,Female,28.4,South Atlantic,Slightly Conservative,Too Much
53501,43,Female,56.599998,South Atlantic,Liberal,Too Little
53502,65,Female,32.299999,South Atlantic,Moderate,About Right
53503,44,Female,78.5,South Atlantic,Moderate,About Right
53504,61,Female,80.300003,South Atlantic,Conservative,Too Little
53505,33,Male,66.099998,South Atlantic,Moderate,About Right
53506,46,Male,35.700001,South Atlantic,Moderate,Too Little
53508,42,Female,92.300003,South Atlantic,Liberal,Too Little
53509,46,Female,62.5,South Atlantic,Slightly Conservative,About Right
53510,61,Male,38.400002,South Atlantic,Slightly Conservative,Too Little
53512,40,Male,63.5,W. Sou. Central,Moderate,Too Little
53513,47,Female,74.400002,W. Sou. Central,Slightly Conservative,Too Little
53514,66,Female,78.5,W. Sou. Central,Extremely Liberal,Too Little
53516,35,Male,38.200001,W. Sou. Central,Liberal,Too Much
53517,53,Male,31.5,W. Sou. Central,Moderate,About Right
53518,31,Male,49.900002,W. Sou. Central,Moderate,Too Little
53519,23,Female,79.800003,W. Sou. Central,Slightly Liberal,About Right
53520,67,Male,48.599998,W. Sou. Central,Moderate,About Right
53522,62,Male,88.900002,W. Sou. Central,Slightly Liberal,Too Little
53523,62,Female,64.800003,W. Sou. Central,Moderate,Too Little
53524,45,Male,38.099998,W. Sou. Central,Moderate,Too Little
53525,20,Female,46.799999,W. Sou. Central,Liberal,About Right
53526,31,Female,32.400002,W. Sou. Central,Moderate,About Right
53527,60,Male,50.700001,W. Sou. Central,Slightly Conservative,About Right
53528,35,Female,60.599998,W. Sou. Central,Liberal,Too Little
53529,20,Female,84.699997,W. Sou. Central,Moderate,About Right
53530,33,Female,29.4,W. Sou. Central,Moderate,Too Much
53531,33,Male,31.5,W. Sou. Central,Liberal,About Right
53533,39,Male,50.700001,W. Sou. Central,Conservative,Too Little
53534,21,Female,39.599998,W. Sou. Central,Moderate,Too Little
53536,23,Female,29.299999,W. Sou. Central,Moderate,Too Much
53537,63,Female,36.5,W. Sou. Central,Liberal,About Right
53538,31,Female,38.400002,W. Sou. Central,Moderate,About Right
53539,86,Female,43.700001,W. Sou. Central,Slightly Conservative,About Right
53540,25,Male,34.200001,W. Sou. Central,Conservative,About Right
53541,61,Male,63.5,W. Sou. Central,Conservative,Too Little
53542,63,Female,73.199997,W. Sou. Central,Conservative,Too Little
53543,39,Male,63.5,New England,Slightly Conservative,About Right
53544,61,Male,37.900002,New England,Slightly Liberal,About Right
53546,50,Female,64.800003,New England,Moderate,About Right
53547,37,Female,75.199997,New England,Liberal,Too Little
53548,50,Female,29.299999,New England,Liberal,About Right
53549,50,Male,59.099998,New England,Liberal,Too Little
53551,40,Male,32.299999,New England,Extremely Liberal,Too Little
53552,56,Female,25.5,New England,Moderate,About Right
53553,49,Male,48.5,New England,Slightly Conservative,Too Little
53554,68,Male,63.5,New England,Extrmly Conservative,Too Much
53555,53,Male,73.599998,New England,Moderate,About Right
53556,59,Female,26.4,New England,Slightly Liberal,About Right
53557,66,Female,60.599998,New England,Slightly Liberal,Too Little
53558,59,Male,53.299999,New England,Moderate,Too Little
53560,70,Male,61.900002,New England,Slightly Conservative,Too Little
53561,53,Female,38.5,New England,Moderate,Too Little
53562,31,Female,33.099998,New England,Slightly Liberal,Too Much
53563,36,Female,28.4,New England,Liberal,Too Little
53564,84,Male,63.5,New England,Slightly Conservative,Too Much
53565,62,Female,39.599998,New England,Slightly Liberal,Too Little
53566,71,Male,32.299999,New England,Conservative,Too Much
53567,41,Female,63.5,New England,Moderate,About Right
53568,56,Female,31.4,New England,Conservative,Too Little
53569,44,Male,63.5,New England,Extrmly Conservative,About Right
53571,26,Female,39.599998,New England,Conservative,Too Much
53572,39,Male,63.5,New England,Conservative,Too Little
53573,41,Female,67,New England,Moderate,About Right
53574,25,Male,63.200001,South Atlantic,Extrmly Conservative,Too Little
53576,55,Female,63.5,South Atlantic,Slightly Liberal,Too Little
