natmass,age,sex,sei,region,polviews
About Right,35,Male,63.5,W. Nor. Central,Slightly Liberal
Too Much,77,Male,50.200001,Middle Atlantic,Conservative
Too Little,44,Female,85.099998,W. Sou. Central,Moderate
Too Little,70,Female,37.700001,South Atlantic,Slightly Conservative
Too Little,67,Male,78.5,Middle Atlantic,Slightly Conservative
Too Much,39,Male,70.5,Mountain,Extremely Conservative
About Right,31,Female,73.199997,Middle Atlantic,Slightly Conservative
About Right,35,Male,39.400002,South Atlantic,Extremely Liberal
Too Little,38,Male,28.4,E. Sou. Central,Moderate
About Right,55,Female,64.400002,Pacific,Liberal
About Right,74,Female,32,New England,Conservative
Too Little,34,Male,78,Mountain,Conservative
Too Little,35,Male,48.5,Pacific,Liberal
Too Little,73,Male,76.400002,Pacific,Extremely Liberal
Too Little,39,Female,64.400002,E. Nor. Central,Slightly Liberal
Too Much,73,Male,39.400002,W. Sou. Central,Conservative
About Right,34,Male,31.4,South Atlantic,Conservative
Too Little,18,Female,29,Middle Atlantic,Moderate
Too Little,42,Female,38.900002,E. Nor. Central,Moderate
Too Little,42,Male,43.200001,Mountain,Extremely Conservative
Too Little,53,Female,38.5,New England,Moderate
Too Little,71,Female,80.300003,Middle Atlantic,Moderate
About Right,23,Female,38.400002,E. Nor. Central,Slightly Liberal
Too Little,59,Female,33.099998,Pacific,Moderate
About Right,36,Female,36.5,South Atlantic,Slightly Conservative
About Right,82,Female,38.400002,South Atlantic,Conservative
Too Little,47,Male,64,E. Nor. Central,Extremely Liberal
About Right,30,Female,43.599998,South Atlantic,Slightly Liberal
Too Little,44,Male,28.6,Pacific,Moderate
About Right,34,Female,73.599998,Middle Atlantic,Conservative
Too Much,49,Female,74.400002,New England,Liberal
About Right,64,Female,53.299999,Pacific,Moderate
Too Little,36,Male,29.200001,E. Nor. Central,Moderate
About Right,35,Female,33.099998,W. Sou. Central,Moderate
About Right,82,Male,28,W. Sou. Central,Slightly Liberal
Too Little,31,Female,64.800003,South Atlantic,Liberal
Too Little,43,Male,38.799999,W. Nor. Central,Extremely Conservative
Too Much,48,Female,63.5,Mountain,Conservative
About Right,38,Male,29.200001,Pacific,Moderate
Too Little,53,Male,29.799999,New England,Moderate
About Right,21,Male,32.400002,W. Sou. Central,Slightly Conservative
Too Little,43,Male,36.099998,Middle Atlantic,Slightly Conservative
About Right,77,Male,43.400002,E. Nor. Central,Slightly Conservative
About Right,38,Female,35.400002,New England,Moderate
About Right,21,Male,27.5,E. Nor. Central,Moderate
About Right,31,Male,34.200001,E. Sou. Central,Slightly Liberal
Too Much,30,Female,76.400002,E. Nor. Central,Slightly Conservative
Too Much,22,Male,38.200001,Pacific,Moderate
Too Little,56,Male,33.599998,South Atlantic,Conservative
Too Little,44,Female,43.700001,South Atlantic,Liberal
Too Little,60,Male,37.299999,New England,Moderate
About Right,31,Male,83.699997,Pacific,Slightly Liberal
Too Much,49,Male,87.900002,E. Nor. Central,Moderate
Too Much,70,Male,28.6,Middle Atlantic,Moderate
About Right,63,Male,29.799999,South Atlantic,Moderate
Too Much,34,Male,62.5,E. Nor. Central,Moderate
About Right,26,Male,44.700001,South Atlantic,Moderate
About Right,57,Female,63.5,South Atlantic,Conservative
About Right,54,Female,37.299999,E. Nor. Central,Extremely Conservative
About Right,34,Male,38.5,Middle Atlantic,Slightly Liberal
Too Much,36,Female,63.5,W. Sou. Central,Conservative
About Right,46,Male,73.199997,E. Nor. Central,Moderate
Too Little,62,Male,83.199997,South Atlantic,Slightly Conservative
Too Much,60,Female,50.700001,Middle Atlantic,Moderate
Too Much,75,Male,49.599998,W. Sou. Central,Slightly Conservative
About Right,56,Female,73.199997,South Atlantic,Moderate
Too Little,69,Female,80.300003,South Atlantic,Moderate
About Right,47,Female,78.5,W. Sou. Central,Extremely Conservative
About Right,67,Female,38,E. Nor. Central,Extremely Conservative
About Right,44,Female,50.700001,E. Nor. Central,Slightly Conservative
About Right,30,Female,33.099998,W. Sou. Central,Moderate
Too Little,21,Female,30.799999,Pacific,Conservative
Too Much,19,Female,33.099998,Pacific,Moderate
About Right,38,Female,53.299999,Middle Atlantic,Slightly Conservative
Too Little,89,Female,78.5,New England,Moderate
About Right,29,Male,63.5,Mountain,Moderate
About Right,50,Male,80.300003,E. Nor. Central,Conservative
Too Little,33,Female,31.4,Middle Atlantic,Slightly Conservative
About Right,76,Male,31.5,E. Nor. Central,Conservative
Too Little,35,Female,83.900002,Middle Atlantic,Moderate
About Right,25,Male,50.5,South Atlantic,Moderate
Too Much,43,Female,21.299999,E. Sou. Central,Conservative
Too Much,34,Female,26.5,Pacific,Slightly Liberal
About Right,19,Male,59.299999,Mountain,Slightly Liberal
About Right,40,Female,62.5,W. Nor. Central,Moderate
About Right,29,Female,50.5,E. Nor. Central,Moderate
Too Little,69,Female,38.900002,Pacific,Moderate
Too Little,41,Male,64.199997,South Atlantic,Slightly Liberal
About Right,24,Female,17.1,W. Nor. Central,Moderate
Too Little,26,Female,28.6,South Atlantic,Moderate
Too Much,44,Female,57.099998,New England,Conservative
About Right,42,Male,63.5,W. Sou. Central,Moderate
Too Little,51,Female,69.199997,South Atlantic,Slightly Conservative
About Right,31,Male,34.200001,W. Sou. Central,Slightly Conservative
Too Little,29,Male,29,New England,Slightly Liberal
Too Little,30,Male,27.200001,South Atlantic,Moderate
About Right,23,Male,49.599998,W. Nor. Central,Moderate
Too Little,84,Female,36.900002,W. Nor. Central,Slightly Liberal
About Right,46,Male,86,E. Nor. Central,Moderate
Too Little,84,Female,50.700001,South Atlantic,Slightly Conservative
Too Much,32,Female,38.900002,Middle Atlantic,Conservative
Too Little,48,Male,83.699997,W. Nor. Central,Conservative
About Right,42,Female,62.200001,W. Nor. Central,Moderate
Too Little,41,Male,31.5,E. Sou. Central,Conservative
About Right,32,Female,63.5,E. Nor. Central,Extremely Liberal
About Right,29,Female,76.400002,W. Sou. Central,Conservative
About Right,50,Female,32.400002,Mountain,Slightly Liberal
Too Much,61,Female,80.300003,South Atlantic,Moderate
Too Little,78,Female,36.099998,Middle Atlantic,Moderate
About Right,82,Female,73.199997,South Atlantic,Moderate
Too Much,48,Female,29.299999,W. Sou. Central,Moderate
About Right,40,Female,32,South Atlantic,Slightly Conservative
Too Little,55,Female,43.700001,W. Sou. Central,Moderate
Too Little,54,Female,78.5,Middle Atlantic,Liberal
About Right,44,Female,22.5,New England,Liberal
Too Little,72,Female,38,Pacific,Moderate
Too Little,30,Male,26.6,E. Nor. Central,Moderate
About Right,47,Female,61.900002,W. Nor. Central,Conservative
About Right,24,Male,31.5,South Atlantic,Moderate
Too Little,30,Male,34.200001,Mountain,Moderate
Too Little,57,Female,37.700001,Pacific,Slightly Conservative
Too Much,34,Male,63.5,E. Nor. Central,Conservative
Too Much,38,Male,33.599998,South Atlantic,Slightly Conservative
Too Little,68,Female,81.900002,South Atlantic,Liberal
Too Little,72,Male,29.200001,Middle Atlantic,Liberal
Too Much,41,Female,22.5,E. Nor. Central,Conservative
About Right,68,Male,32.299999,W. Sou. Central,Moderate
Too Much,76,Female,22.9,E. Nor. Central,Conservative
Too Little,29,Female,17.1,E. Sou. Central,Moderate
About Right,59,Female,30.799999,E. Nor. Central,Liberal
About Right,84,Female,64.099998,South Atlantic,Liberal
About Right,35,Female,38,Mountain,Moderate
Too Little,44,Female,83.699997,New England,Moderate
About Right,46,Female,73.300003,Pacific,Conservative
About Right,49,Female,78.5,South Atlantic,Slightly Liberal
Too Little,67,Male,38.900002,South Atlantic,Moderate
About Right,20,Female,36.5,Mountain,Moderate
Too Little,67,Female,38.400002,Mountain,Conservative
Too Little,66,Female,80.300003,E. Nor. Central,Conservative
About Right,43,Female,32.299999,E. Nor. Central,Moderate
Too Much,34,Male,27.5,E. Sou. Central,Moderate
Too Little,35,Female,50.700001,E. Nor. Central,Slightly Conservative
About Right,79,Female,34.400002,E. Sou. Central,Moderate
About Right,47,Female,38,W. Sou. Central,Slightly Conservative
Too Little,29,Female,63.5,E. Nor. Central,Slightly Conservative
About Right,71,Female,32,Pacific,Slightly Liberal
Too Little,41,Male,79.900002,Pacific,Extremely Liberal
Too Little,21,Male,29.799999,Mountain,Liberal
Too Much,40,Female,69.199997,Pacific,Slightly Conservative
Too Little,75,Female,17.1,E. Nor. Central,Slightly Conservative
Too Little,43,Female,56.599998,South Atlantic,Liberal
Too Little,31,Male,38.099998,Pacific,Moderate
About Right,53,Female,78.5,E. Sou. Central,Moderate
About Right,37,Female,60.5,E. Nor. Central,Liberal
About Right,48,Male,49.599998,E. Nor. Central,Conservative
About Right,30,Male,53.099998,W. Sou. Central,Slightly Liberal
About Right,57,Male,83.699997,Middle Atlantic,Liberal
Too Little,38,Male,82.699997,Mountain,Liberal
About Right,30,Female,50.700001,W. Sou. Central,Moderate
About Right,60,Male,48.900002,Middle Atlantic,Slightly Conservative
Too Little,35,Female,38.400002,Middle Atlantic,Slightly Liberal
Too Little,46,Female,54.700001,Middle Atlantic,Conservative
Too Much,52,Female,65.800003,South Atlantic,Slightly Conservative
About Right,74,Female,37.900002,E. Nor. Central,Moderate
About Right,62,Female,52.299999,Middle Atlantic,Moderate
Too Little,29,Male,39.5,South Atlantic,Slightly Liberal
Too Much,31,Female,66.099998,Pacific,Conservative
About Right,40,Female,62.5,W. Nor. Central,Slightly Liberal
About Right,63,Male,29.799999,Middle Atlantic,Moderate
Too Much,32,Female,59.900002,Middle Atlantic,Slightly Conservative
Too Little,31,Female,73.599998,Middle Atlantic,Slightly Liberal
Too Little,20,Female,80.900002,Pacific,Moderate
Too Little,25,Male,29.200001,Middle Atlantic,Slightly Conservative
Too Little,53,Male,32.299999,Middle Atlantic,Slightly Liberal
About Right,26,Female,78.5,W. Sou. Central,Conservative
Too Little,47,Female,29.299999,South Atlantic,Liberal
About Right,34,Male,25.299999,Pacific,Moderate
Too Much,86,Female,78.5,Mountain,Conservative
About Right,26,Female,73.800003,Mountain,Slightly Conservative
About Right,68,Female,51.900002,W. Sou. Central,Moderate
Too Little,71,Male,25.799999,South Atlantic,Moderate
Too Little,28,Male,63.200001,W. Sou. Central,Conservative
About Right,46,Female,78.5,E. Nor. Central,Conservative
Too Little,40,Male,33.599998,Pacific,Moderate
About Right,44,Male,85.099998,E. Nor. Central,Slightly Conservative
About Right,57,Female,80.300003,E. Sou. Central,Moderate
About Right,23,Male,36.900002,New England,Moderate
Too Little,58,Female,29.6,South Atlantic,Moderate
Too Little,21,Male,45.299999,Mountain,Liberal
Too Little,34,Female,56.599998,South Atlantic,Slightly Liberal
Too Little,43,Male,64.099998,W. Nor. Central,Conservative
About Right,60,Female,48.5,Pacific,Liberal
About Right,68,Female,81.300003,New England,Liberal
Too Little,28,Male,38.200001,E. Nor. Central,Slightly Conservative
Too Little,76,Female,62.099998,Mountain,Moderate
Too Little,23,Male,67,South Atlantic,Slightly Liberal
Too Little,60,Male,31.4,Mountain,Moderate
About Right,61,Male,45.799999,E. Nor. Central,Extremely Conservative
About Right,60,Female,55.099998,South Atlantic,Moderate
Too Little,56,Female,81.900002,New England,Liberal
Too Much,46,Female,57.099998,Pacific,Liberal
About Right,29,Female,80.300003,E. Nor. Central,Moderate
About Right,27,Female,63.5,Middle Atlantic,Slightly Liberal
About Right,62,Female,21.200001,E. Sou. Central,Slightly Conservative
About Right,47,Female,80.300003,Pacific,Liberal
About Right,37,Male,92.800003,South Atlantic,Moderate
About Right,43,Male,38.900002,Mountain,Conservative
Too Little,80,Female,22.700001,Middle Atlantic,Moderate
About Right,33,Male,67,Pacific,Slightly Conservative
About Right,54,Female,38.400002,Middle Atlantic,Moderate
About Right,73,Female,17.6,E. Sou. Central,Moderate
Too Much,20,Female,38.400002,South Atlantic,Extremely Liberal
Too Little,72,Female,61.900002,New England,Slightly Conservative
About Right,53,Female,31.5,South Atlantic,Conservative
Too Little,34,Male,26.700001,E. Sou. Central,Slightly Liberal
Too Little,49,Female,21.200001,W. Sou. Central,Slightly Conservative
About Right,22,Female,36.5,W. Sou. Central,Moderate
Too Little,62,Male,32.299999,South Atlantic,Liberal
About Right,35,Male,29.200001,E. Nor. Central,Slightly Conservative
Too Much,79,Male,71.599998,New England,Extremely Conservative
About Right,60,Female,50.700001,E. Nor. Central,Liberal
Too Much,24,Female,63.200001,W. Nor. Central,Moderate
Too Little,65,Female,36.5,E. Nor. Central,Conservative
About Right,42,Female,38,Mountain,Moderate
About Right,31,Female,38,Middle Atlantic,Moderate
